"marcaId","marcaNome"
"1","Sem Marca"
"2","JEAN MONIER"
"3","JEAN PIERRE"
"4","PLATINI"
"5","COROLLA"
"6","OPTIMAX"
"7","BURGUESE"
"8","MAXLINE"
"9","PIERRE CARDIN"
"10","FOX"
"11","IMOLA"
"12","LAVORATO"
"13","PROSOL"
"14","TECNOL"
"15","ASOLO"
"16","VISARD"
"17","EXPRESS"
"18","INTELECTUM"
"20","LIZEA"
"21","AUGEN"
"22","HAGNUS"
"23","FLEX"
"24","DIOCULOS"
"25","KAVALEIROS"
"26","COPACABANAS"
"27","PLAY BOY"
"28","LEVERT"
"29","LUCIANA GIMENES"
"30","X-TREME"
"31","TIGRÃO"
"32","PRINCESA"
"33","LOUGGE"
"34","DA VINCI"
"35","HESS"
"36","CLASSICA"
"37","DETROIT"
"38","GRAZI"
"39","VOGUE"
"40","KEYPER"
"41","RAY BAN"
"42","K&L"
"43","TURMA DA MONICA"
"51","HOYA"
"60","ESSILOR"
"63","ZEISS"
"64","SOLA"
"67","GUGA KUERTEN"
"68","DI VIALLE"
"71","ALAN GARRAUD"
"72","LEMUD"
"73","KRISTAL"
"74","PAOLA PIOVANI"
"75","SUN WAY"
"76","OASIS"
"79","PEREGO"
"80","OPHBRAS"
"81","ESSLOR DESATIVADA"
"82","BERINE"
"83","OPTVIW"
"84","TRATAMENTOS"
"85","SIGNUS"
"86","MASTER GLASS"
"87","POPULAR"
"88","HAYTEK"
"89","VISCO"
"90","CESAR CIELO"
"92","SALDO ANTERIOR"
"93","EGLANCE"
"94","ARNETTE"
"95","D'VISION"
"96","SCUDO"
"97","PRONTO"
"98","BERINE SEM PRODUTO"
"99","KEEPER"
"100","DI VITTORE"
"101","RENOMA"
"102","TOP LINE"
"103","SOLOTICA"
"104","CORRIGIR"
"105","VEJA BEM MEU BEM"
"106","LABO OPTICA"
"108","PROMOÇÃO"
"109","CORRIGIR"
"110","TEC LAB"
"111","VIP OPTIC"
"112","BERINE SP"
"113","GIRO"
"114","MARESIA"
"115","VIZZANO"
"116","VIP GOLD"
"117","BURGET"
"118","YNOT"
"119","BRASIL LENTES"
"120","OPTO PHARMA"
"121","GIRO COPS"
"122","DIST CENTRAL"
"123","KEEPER BRASIL"
"124","SPELLBOUND"
"125","VISIONMAX LABO"
"126","VICTOR LORENZO"
"127","RENEGOCIAÇÃO"
"128","OPTI PRIME"
"129","PRO EASY"
"130","FIAMMA"
"131","URBAN"
"132","BRASIL OCULAR"
"133","GOLD LIFE"
"134","SANTOS DIST"
"135","PERSONAL"
"136","SOLAB"
"137","OK"
"138","SOLAB DESATIVADA"
"139","OBEN"
"140","AUGE"
"141","VISEL"
"142","FRESHLOOK"
"143","COPS"
"144","DI MARELLA"
"145","VLS SPORT"
"146","K2"
"147","SAULO DIST"
"148","PAULO CARRARO"
"149","VALENTINA GUERRA"
"150","CARMEN VITTI"
"151","ROMANO"
"152","GOLD VIEW DIST"
"153","DIST DIGITAL"
"154","ECKO UNLTD"
"155","VERTZ"
"156","DIST 2A OPTICOS"
"157","POWER"
"158","TOP CLUB"
"159","PRÓPIA"
"160","DIST LOHAN"
